latitude,longitude,init_date,valid_date,lead_day,ens_n,t2m_C,t2m_C_max,t2m_C_min,rh_pct,wind_mps,tp_mm_mean,rh_pct_max,rh_pct_min,wind_mps_max,wind_mps_min
22.5,120.5,2022-02-01,2022-02-01,0,51,19.261646,20.84184,18.177452,78.56623,2.6780028,0.0,86.0842,66.887085,3.012232,2.3017635
22.5,121.5,2022-02-01,2022-02-01,0,51,21.263344,21.555916,20.841711,70.22768,3.6786225,0.0,76.188576,64.46959,4.36276,3.030525
23.5,120.5,2022-02-01,2022-02-01,0,51,14.795731,16.127686,13.731168,90.76511,2.8105242,0.0,93.81284,85.49308,3.0781956,2.5221977
24.5,120.5,2022-02-01,2022-02-01,0,51,15.827299,16.188618,15.523624,87.459045,8.563342,0.0,88.87894,86.15085,9.03101,8.01838
24.5,121.5,2022-02-01,2022-02-01,0,51,14.086312,15.540255,13.244787,88.2213,2.1417909,0.0,93.41311,79.44159,2.7365417,1.4692404
23.5,121.5,2022-02-01,2022-02-01,0,51,16.267723,17.25598,15.54012,80.69628,1.5623028,0.0,86.24722,72.529434,2.097432,1.079924
23.5,120.5,2022-02-01,2022-02-02,1,51,15.532331,19.28804,13.753777,87.40681,2.9233696,1.3891482,94.35561,72.14172,3.909986,2.2063696
22.5,120.5,2022-02-01,2022-02-02,1,51,19.883808,22.01694,18.752262,82.54662,2.2274673,0.8923026,88.33436,71.583206,2.8110867,1.4603385
23.5,121.5,2022-02-01,2022-02-02,1,51,17.222397,19.19184,16.062841,83.709206,1.8674967,7.003859,88.35523,74.98572,2.706014,1.0183139
24.5,121.5,2022-02-01,2022-02-02,1,51,14.840849,16.89952,13.746618,89.53062,2.2501483,11.892654,93.61308,81.37621,3.1529777,1.2652763
24.5,120.5,2022-02-01,2022-02-02,1,51,15.901549,17.324968,14.855028,85.63205,8.687627,5.235635,89.287155,80.49181,9.451645,7.704362
22.5,121.5,2022-02-01,2022-02-02,1,51,22.080816,22.587822,21.349499,73.94326,3.7888722,2.1723206,77.07962,71.09245,4.740628,2.9022613
23.5,120.5,2022-02-01,2022-02-03,2,51,15.770253,19.469446,13.819905,87.80344,2.9728734,2.2553837,94.55285,73.35663,3.7009044,2.1549516
24.5,120.5,2022-02-01,2022-02-03,2,51,15.355539,16.889988,14.040673,86.88819,8.100643,7.1987076,90.07094,82.85116,8.96158,7.0267153
22.5,120.5,2022-02-01,2022-02-03,2,51,20.12129,22.593145,18.53712,84.11363,2.613677,0.62261844,90.0236,71.98412,4.441029,1.0621424
22.5,121.5,2022-02-01,2022-02-03,2,51,22.531773,23.145704,21.986471,77.26715,3.5569696,2.0288954,82.78077,72.37387,5.110711,2.025384
23.5,121.5,2022-02-01,2022-02-03,2,51,17.933395,19.931036,16.848425,84.68137,2.369506,7.06265,90.490524,75.79386,3.7095525,1.0563244
24.5,121.5,2022-02-01,2022-02-03,2,51,14.785227,16.721859,13.39242,90.50056,2.7407587,11.33728,93.80883,84.78813,3.9091675,1.66365
24.5,121.5,2022-02-01,2022-02-04,3,51,12.162829,13.986647,10.4392185,89.31591,4.6975045,11.526968,91.93618,84.33147,5.2491617,4.156662
23.5,121.5,2022-02-01,2022-02-04,3,51,16.027403,18.180351,13.996433,84.569,5.6370564,8.984959,88.78533,76.30691,6.212064,4.9488835
24.5,120.5,2022-02-01,2022-02-04,3,51,14.702572,16.140253,13.776104,79.88151,9.779145,0.47840792,83.3918,75.74245,10.392315,8.991371
23.5,120.5,2022-02-01,2022-02-04,3,51,15.028103,18.612335,13.128241,83.82167,3.7618353,0.8163452,89.75771,69.98098,4.8503838,2.962754
22.5,121.5,2022-02-01,2022-02-04,3,51,20.635208,21.500572,19.474106,81.37781,9.670295,2.9942381,85.46601,78.046074,11.109805,7.3004923
22.5,120.5,2022-02-01,2022-02-04,3,51,19.240112,21.530228,17.763285,82.098076,3.83827,1.9442989,86.272,73.6427,4.438522,3.2359142
22.5,121.5,2022-02-01,2022-02-05,4,51,19.340355,19.844183,18.844273,76.73271,9.757795,3.5527546,79.474396,73.94574,10.757906,8.680133
23.5,120.5,2022-02-01,2022-02-05,4,51,14.273297,17.39829,12.397028,81.160446,2.953888,0.37989897,89.85957,66.55615,4.2870193,2.0122218
24.5,120.5,2022-02-01,2022-02-05,4,51,14.608498,15.9081335,13.868362,77.15402,9.214401,0.38872513,81.99429,70.381165,10.077509,8.156303
24.5,121.5,2022-02-01,2022-02-05,4,51,11.126526,12.4585705,10.294467,87.84762,4.1766577,11.997372,91.18134,81.80252,4.7185616,3.5652878
23.5,121.5,2022-02-01,2022-02-05,4,51,14.028851,15.533669,13.012779,83.826096,4.7294035,9.373609,87.72892,76.778076,5.4618607,3.8656526
22.5,120.5,2022-02-01,2022-02-05,4,51,18.186096,19.957613,17.006372,77.4132,2.953291,0.5193224,81.99245,68.89059,3.3781936,2.5222383
23.5,120.5,2022-02-01,2022-02-06,5,51,14.309783,18.285814,12.207524,82.27495,2.2103689,0.23696002,92.53278,63.37507,3.352892,1.4228692
22.5,121.5,2022-02-01,2022-02-06,5,51,19.535273,19.914322,19.038435,77.55641,8.154576,8.144453,80.25744,74.69043,9.289125,6.630768
24.5,121.5,2022-02-01,2022-02-06,5,51,12.559017,14.2052,11.466725,86.67481,3.8190777,10.701797,90.63729,77.97477,4.3752294,3.1333585
23.5,121.5,2022-02-01,2022-02-06,5,51,14.299989,15.673223,13.426121,84.30649,3.2662401,11.664597,88.03214,77.26591,4.441036,1.8401811
22.5,120.5,2022-02-01,2022-02-06,5,51,18.2748,20.503302,17.050783,77.43305,3.2570274,0.88770247,84.49484,64.806786,3.849398,2.731714
24.5,120.5,2022-02-01,2022-02-06,5,51,15.549194,17.303661,14.5293,80.356285,6.943221,0.13493557,88.25195,69.84581,9.001576,3.6864955
24.5,120.5,2022-02-01,2022-02-07,6,51,15.651856,17.16826,14.598351,87.99638,4.3584094,13.724084,92.04729,82.303825,6.1687336,2.400955
23.5,120.5,2022-02-01,2022-02-07,6,51,15.643833,19.46908,13.515536,85.41508,1.9167053,12.28153,94.70909,69.954155,2.6488168,1.2311392
23.5,121.5,2022-02-01,2022-02-07,6,51,16.628687,18.137012,14.869313,84.757614,3.2814035,17.81314,89.38987,77.328926,4.5496426,1.8422953
24.5,121.5,2022-02-01,2022-02-07,6,51,15.102033,17.933273,13.585178,86.251656,3.0912251,16.370438,92.8576,74.05124,4.1763077,1.666086
22.5,121.5,2022-02-01,2022-02-07,6,51,21.58932,22.274357,20.536514,77.10543,6.3259997,14.798332,81.79072,73.06543,7.699955,4.9002185
22.5,120.5,2022-02-01,2022-02-07,6,51,20.077284,22.039852,18.559551,81.25908,4.4066234,13.992759,88.53637,70.84784,5.838125,2.995783
24.5,121.5,2022-02-01,2022-02-08,7,51,13.516137,15.174553,11.971187,91.074844,3.5694337,11.879715,93.50707,87.25759,4.301066,2.5424628
23.5,120.5,2022-02-01,2022-02-08,7,51,15.658562,18.150108,14.068908,88.80969,3.1695366,7.974064,93.21979,80.98799,3.8936899,2.4480765
